식단,칼로리,선호도,카테고리
햄김치찌개,189.0,0
호박찌개,95.0,0
대구찜,376.42,0
동태찜,394.32,0
돼지등갈비찜,961.04,0
돼지머리고기,650.0,0
매운갈비찜,517.44,0
북어찜,235.0,0
붕어찜,835.6,0
소갈비찜,494.6,0
순대,542.42,0
아구찜,310.87,0
아구찜,492.32,0
안동찜닭,1364.21,0
조기찜,182.12,0
참꼬막,90.79,0
해물찜,400.08,0
곰탕,183.25,0
광어매운탕,419.79,0
낙지탕,187.8,0
대구매운탕,361.75,0
대구지리탕,262.02,0
메기매운탕,400.0,0
복지리탕,232.05,0
소탕,86.37,0
아구탕,246.07,0
어탕,85.87,0
연포탕,541.64,0
우럭매운탕,406.82,0
전복탕,196.85,0
조기매운탕,384.38,0
짱뚱어탕,188.77,0
추어탕,316.72,0
해물탕,267.81,0
고구마맛탕,491.0,0
고구마튀김,252.96,0
고추튀김,202.0,0
닭튀김,903.0,0
등심돈가스,623.83,0
모래집튀김,468.37,0
미꾸라지튀김,387.49,0
생선까스,653.44,0
안심돈가스,651.75,0
양념치킨,552.0,0
쥐포튀김,356.91,0
치즈돈가스,755.37,0
치킨까스,593.0,0
대구포,140.84,0
매작과,123.86,0
산자,109.71,0
송화다식,110.83,0
약과,119.73,0
유과,127.09,0
글램핑 바비큐(오리지널 L),410.0,0
글램핑 바비큐(나폴리M),328.0,0
글램핑 바비큐(나폴리L),312.0,0
글램핑 바비큐(씬 M),266.0,0
글램핑 바비큐(씬 L),273.0,0
글램핑 바비큐(슈퍼시드 함유 도우M),485.0,0
글램핑 바비큐(슈퍼시드 함유 도우L),392.0,0
글램핑 바비큐 더블치즈엣지(오리지널 M),330.0,0
글램핑 바비큐 더블치즈엣지(오리지널 L),489.0,0
더블크러스트 이베리코(더블 크러스트 L),387.0,0
더블크러스트 이베리코(더블 크러스트 M),345.0,0
리얼불고기(오리지널 L),420.0,0
리얼불고기(오리지널 M),280.0,0
리얼불고기(나폴리L),334.0,0
리얼불고기(나폴리M),430.0,0
리얼불고기(씬 L),365.0,0
리얼불고기(씬 M),396.0,0
리얼불고기(슈퍼시드 함유 도우L),313.0,0
리얼불고기(슈퍼시드 함유 도우M),292.0,0
리얼불고기 더블치즈엣지(오리지널 L),344.0,0
리얼불고기 더블치즈엣지(오리지널 M),350.0,0
문어밤 슈림프(오리지널 L),428.0,0
문어밤 슈림프(오리지널 M),280.0,0
문어밤 슈림프(나폴리L),323.0,0
문어밤 슈림프(나폴리M),430.0,0
문어밤 슈림프(씬 L),254.0,0
문어밤 슈림프(씬 M),389.0,0
문어밤 슈림프(슈퍼시드 함유 도우L),333.0,0
문어밤 슈림프(슈퍼시드 함유 도우M),280.0,0
문어밤 슈림프 더블치즈엣지(오리지널 L),322.0,0
문어밤 슈림프 더블치즈엣지(오리지널 M),347.0,0
베스트 콰트로(오리지널 L),460.0,0
베스트 콰트로(오리지널 M),312.0,0
베스트 콰트로(나폴리L),387.0,0
베스트 콰트로(나폴리M),259.0,0
베스트 콰트로(씬 L),306.0,0
베스트 콰트로(씬 M),457.0,0
베스트 콰트로(슈퍼시드 함유 도우L),274.0,0
베스트 콰트로(슈퍼시드 함유 도우M),322.0,0
베스트 콰트로 더블치즈엣지(오리지널 L),393.0,0
베스트 콰트로 더블치즈엣지(오리지널 M),384.0,0
베이컨체더치즈(오리지널 L),455.0,0
베이컨체더치즈(오리지널 M),311.0,0
베이컨체더치즈(나폴리L),356.0,0
베이컨체더치즈(나폴리M),465.0,0
베이컨체더치즈(씬 L),382.0,0
베이컨체더치즈(씬 M),437.0,0
베이컨체더치즈(슈퍼시드 함유 도우L),377.0,0
베이컨체더치즈(슈퍼시드 함유 도우M),307.0,0
베이컨체더치즈 더블치즈엣지(오리지널 L),355.0,0
베이컨체더치즈 더블치즈엣지(오리지널 M),364.0,0
불고기(오리지널 L),436.0,0
불고기(오리지널 M),291.0,0
불고기(나폴리L),319.0,0
불고기(나폴리M),421.0,0
불고기(씬 L),250.0,0
불고기(씬 M),394.0,0
불고기(슈퍼시드 함유 도우L),312.0,0
불고기(슈퍼시드 함유 도우M),301.0,0
불고기 더블치즈엣지(오리지널 L),342.0,0
불고기 더블치즈엣지(오리지널 M),350.0,0
블랙앵거스 스테이크(오리지널 L),405.0,0
블랙앵거스 스테이크(오리지널 M),307.0,0
블랙앵거스 스테이크(나폴리L),383.0,0
블랙앵거스 스테이크(나폴리M),248.0,0
블랙앵거스 스테이크(씬 L),296.0,0
블랙앵거스 스테이크(씬 M),459.0,0
블랙앵거스 스테이크(슈퍼시드 함유 도우L),266.0,0
블랙앵거스 스테이크(슈퍼시드 함유 도우M),301.0,0
블랙앵거스 스테이크 더블치즈엣지(오리지널 L),369.0,0
블랙앵거스 스테이크 더블치즈엣지(오리지널 M),388.0,0
블랙타이거 슈림프(오리지널 L),488.0,0
블랙타이거 슈림프(오리지널 M),288.0,0
블랙타이거 슈림프(나폴리M),453.0,0
블랙타이거 슈림프(나폴리L),358.0,0
블랙타이거 슈림프(씬 M),431.0,0
블랙타이거 슈림프(씬 L),308.0,0
블랙타이거 슈림프(슈퍼시드 함유 도우L),403.0,0
블랙타이거 슈림프 더블치즈엣지(오리지널 L),290.0,0
블랙타이거슈림프(슈퍼시드 함유 도우M),363.0,0
블랙타이거슈림프 더블치즈엣지(오리지널 M),468.0,0
슈퍼디럭스(오리지널 L),625.0,0
슈퍼디럭스(오리지널 M),307.0,0
슈퍼디럭스(나폴리L),386.0,0
슈퍼디럭스(나폴리M),251.0,0
슈퍼디럭스(씬 L),282.0,0
슈퍼디럭스(씬 M),450.0,0
슈퍼디럭스(슈퍼시드 함유 도우L),393.0,0
슈퍼디럭스(슈퍼시드 함유 도우M),332.0,0
슈퍼디럭스 더블치즈엣지(오리지널 L),373.0,0
슈퍼디럭스 더블치즈엣지(오리지널 M),359.0,0
슈퍼슈프림(오리지널 L),452.0,0
슈퍼슈프림(오리지널 M),321.0,0
슈퍼슈프림(나폴리L),366.0,0
슈퍼슈프림(나폴리M),246.0,0
슈퍼슈프림(씬 L),291.0,0
슈퍼슈프림(씬 M),236.0,0
슈퍼슈프림(슈퍼시드 함유 도우L),251.0,0
슈퍼슈프림(슈퍼시드 함유 도우M),335.0,0
슈퍼슈프림 더블치즈엣지(오리지널 L),385.0,0
슈퍼슈프림 더블치즈엣지(오리지널 M),374.0,0
와규 앤 비스테카(오리지널 L),433.0,0
와규 앤 비스테카(오리지널 M),305.0,0
와규 앤 비스테카(나폴리L),377.0,0
와규 앤 비스테카(나폴리M),247.0,0
와규 앤 비스테카(씬 L),306.0,0
와규 앤 비스테카(씬 M),477.0,0
와규 앤 비스테카(슈퍼시드 함유 도우L),262.0,0
와규 앤 비스테카(슈퍼시드 함유 도우M),306.0,0
와규 앤 비스테카 더블치즈엣지(오리지널 L),354.0,0
와규 앤 비스테카 더블치즈엣지(오리지널 M),388.0,0
